,고영,A098460,,,,,,,,,,,,,,,,,,,
, = 매출총이익,269.41,290.55,280.05,338.09,332.75,363.8,310.75,394.94,404.06,378.96,303.52,384.4,390.76,333.24,310.43,248.92,280.5,291.37,,
, - 판매비와관리비,180.1,204.29,200.11,218.46,212.82,245.81,217.73,267.47,264.75,278.92,236.28,274.64,283.19,284.49,251.7,228.74,245.21,247.14,,
, = 영업이익,89.31,86.26,79.94,119.63,119.93,117.99,93.02,127.47,139.31,100.04,67.24,109.76,107.57,48.75,58.73,20.18,35.29,44.23,94.74,
,* 지배순이익,38.18,124.41,7.38,126.07,103.64,29.5,80.67,139.48,112.19,90.77,71.34,107.04,122.39,-5.17,107.98,4.3,13.09,-33.76,62,
,매출원가비중,35.6,37.01,35.24,36.95,34.77,34.44,36.53,39.61,36.89,36.66,36.54,36.79,37.92,33.97,38.81,35.95,31.69,40.4,,
,매출총이익율,64.4,62.99,64.76,63.05,65.23,65.56,63.47,60.39,63.11,63.34,63.46,63.21,62.08,66.03,61.19,64.05,68.31,59.6,,
,판관비율,43.05,44.29,46.28,40.74,41.72,44.3,44.47,40.9,41.35,46.62,49.4,45.16,44.99,56.37,49.61,58.86,59.71,50.56,,
,영업이익률,21.35,18.7,18.49,22.31,23.51,21.26,19,19.49,21.76,16.72,14.06,18.05,17.09,9.66,11.58,5.19,8.59,9.05,16.12,
,지배순이익률,9.13,26.97,1.71,23.51,20.32,5.32,16.48,21.33,17.52,15.17,14.92,17.6,19.44,-1.02,21.28,1.11,3.19,-6.91,10.55,
,매출액YOY(%),14.67,15.04,16.86,14.5,21.94,20.31,13.21,21.96,25.51,7.82,-2.3,-7.01,-1.68,-15.65,6.07,-36.09,-34.76,-3.14,15.84,
,영업이익YOY(%),69.24,56.86,34.74,23.39,34.29,36.78,16.36,6.55,16.16,-15.21,-27.71,-13.89,-22.78,-51.27,-12.66,-81.61,-67.19,-9.27,61.31,
,지배순이익YOY(%),-41.41,119.3,-86.13,55.47,171.45,-76.29,993.09,10.64,8.25,207.69,-11.57,-23.26,9.09,-105.7,51.36,-95.98,-89.3,-553,-42.58,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,209.96,196.03,190.57,295.91,238.95,282.48,208.16,304.27,272.77,254.14,316.3,346.5,339.14,353.37,286.51,389.88,349.89,359.26,346.65,395.67
,영업이익,42.26,41.92,40.16,74.19,33.92,55.31,24.5,58.97,46.41,47.91,55.22,78.43,69.65,74,49.24,87.45,75.77,49.26,61.09,78.47
,순이익,52.65,32.14,34.22,63.12,23,28.02,29.4,58.58,28.13,32.06,48.71,47.99,60.85,70.21,29.75,82.76,85.7,34.51,54.65,70.57
,영업이익율(%),20.13,21.38,21.07,25.07,14.2,19.58,11.77,19.38,17.01,18.85,17.46,22.63,20.54,20.94,17.19,22.43,21.66,13.71,17.62,19.83
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,382.14,408.09,382.35,537.97,452.41,516.62,463.81,619.21,585.69,529.48,453.28,551.49,586.48,503.56,432.96,337.53,358.21,442.08,0,
,영업이익,81.14,89.69,58.56,147.24,99.98,149.35,93.27,135.18,122.27,111.24,80.88,117.64,118.26,83.8,54.89,17.34,16.37,47.13,0,
,순이익,31.85,123.56,-6.71,146.44,91.04,58.3,80.26,145.09,97.34,101.62,79.99,116.03,130.24,20.76,108.27,1.11,-0.53,-34.38,0,
,영업이익율(%),21.23,21.98,15.32,27.37,22.1,28.91,20.11,21.83,20.88,21.01,17.84,21.33,20.16,16.64,12.68,5.14,4.57,10.66,0,
