,지투알,A035000,,,,,,,,,,,,,,,,,,,
, - 매출원가,618.82,839.88,557.39,895.31,1027.6,980.99,385.83,1103.38,760.09,1434.81,373.26,1197.66,417.12,1764.42,397.67,388.84,270.32,1052.37,,
, = 매출총이익,326.03,517.69,259.67,349.86,380.3,561.88,301.23,367.73,407.05,621.95,286.22,420.79,336.6,624.79,272.24,372.54,380.24,621.95,,
, - 판매비와관리비,313.85,349.74,294.51,349.17,353.65,357.24,337.24,361.73,367.89,376.98,364.3,379.7,383.75,321.73,348.71,366.87,386.7,291.94,,
, = 영업이익,12.18,167.95,-34.84,0.69,26.65,204.64,-36.01,6,39.16,244.97,-78.08,41.09,-47.15,303.06,-76.47,5.67,-6.46,330.01,0,
,* 지배순이익,10.84,132.74,-53.57,5.28,33.54,131.46,-28.77,-3.46,11.4,173.62,-59.55,0.55,-44.74,256.32,-49.22,5.35,-15.03,149.3,0,
,매출원가비중,65.49,61.87,68.22,71.9,72.99,63.58,56.16,75,65.12,69.76,56.6,74,55.34,73.85,59.36,51.07,41.55,62.85,,
,매출총이익율,34.51,38.13,31.78,28.1,27.01,36.42,43.84,25,34.88,30.24,43.4,26,44.66,26.15,40.64,48.93,58.45,37.15,,
,판관비율,33.22,25.76,36.05,28.04,25.12,23.15,49.08,24.59,31.52,18.33,55.24,23.46,50.91,13.47,52.05,48.18,59.44,17.44,,
,영업이익률,1.29,12.37,-4.26,0.06,1.89,13.26,-5.24,0.41,3.36,11.91,-11.84,2.54,-6.26,12.68,-11.41,0.74,-0.99,19.71,0,
,지배순이익률,1.15,9.78,-6.56,0.42,2.38,8.52,-4.19,-0.24,0.98,8.44,-9.03,0.03,-5.94,10.73,-7.35,0.7,-2.31,8.92,0,
,매출액YOY(%),-19.78,-26.3,-6.09,37.26,49.01,13.65,-15.91,18.15,-17.1,33.31,-4.01,10.02,-35.42,16.16,1.58,-52.96,-13.69,-29.92,0,
,영업이익YOY(%),-58.59,34.99,-15.14,-98.5,118.8,21.85,-3.36,769.57,46.94,19.71,-116.83,584.83,-220.4,23.71,2.06,-86.2,86.3,8.89,0,
,지배순이익YOY(%),-63.76,29.87,-31.82,-88.65,209.41,-0.96,46.29,-165.53,-66.01,32.07,-106.99,115.9,-492.46,47.63,17.35,872.73,66.41,-41.75,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,25.45,25.09,65.39,23.99,26.22,26.85,27.91,25.44,25.17,22.05,26.93,28.64,29.54,27.8,34.47,37.83,46.5,92.36,52.17,50.15
,영업이익,-6.44,-0.5,33.83,-4.68,-3.39,-3.05,-5.32,-5,-4.28,-0.88,-3.73,-2.5,-0.91,-0.38,-2.78,-0.71,0.15,28.48,-2.79,-1.73
,순이익,1.83,-29.83,39.93,-1.73,2.26,3.42,-2.07,0.09,-0.04,7.45,-0.6,0.72,1.08,2.07,-0.65,1.61,1.68,27.28,-1.63,0.77
,영업이익율(%),-25.3,-1.99,51.74,-19.51,-12.93,-11.36,-19.06,-19.65,-17,-3.99,-13.85,-8.73,-3.08,-1.37,-8.06,-1.88,0.32,30.84,-5.35,-3.45
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,41.29,87.23,101.46,51.85,40,96.27,62.27,36.43,41.88,31.61,34.73,30.46,39.39,163.07,32.3,30.54,34.24,221.94,0,
,영업이익,-4.68,27.17,51.23,-1.11,-5,48.22,24.74,-5.2,-3.03,-4.88,-5.01,-11.79,-4.63,128.15,-3.7,-9.98,-4.92,196.09,0,
,순이익,-2.04,5.14,48.95,2.68,2.33,44.15,37.66,-2.28,-1.17,-28.75,1.55,-12.76,-0.26,-20.65,-1.28,-7.36,-3.42,31.89,0,
,영업이익율(%),-11.33,31.15,50.49,-2.14,-12.5,50.09,39.73,-14.27,-7.23,-15.44,-14.43,-38.71,-11.75,78.59,-11.46,-32.68,-14.37,88.35,0,
