,한글과컴퓨터,A030520,,,,,,,,,,,,,,,,,,,
, = 매출총이익,219.26,243.43,256.88,278.5,247.17,204.95,255.45,358.56,294.95,430.08,369,448.7,326.78,505.21,487.33,614.13,461.92,510.68,,
, - 판매비와관리비,154.97,188.06,162.88,178.34,171.4,185.36,219.57,204.51,193.8,296.79,311.41,319.03,302.98,384.2,343.25,339.84,327.48,381.35,,
, = 영업이익,64.29,55.37,94,100.16,75.77,19.59,35.88,154.05,101.15,133.29,57.59,129.67,23.8,121.01,144.08,274.29,134.44,129.33,112,
,* 지배순이익,34.35,9.38,70.41,70.15,52.67,8.53,59.17,103.33,34.5,-131.83,24.42,125.58,-8.12,50.76,71.71,151.51,70.44,64.01,128,
,매출원가비중,8.49,4.5,3.99,3.06,5.26,48.26,27.07,35.81,37.51,42.48,46.04,47.75,48.81,50.06,44.86,44.48,54.77,49.06,,
,매출총이익율,91.51,95.5,96.01,96.94,94.74,51.74,72.93,64.19,62.49,57.52,53.96,52.25,51.19,49.94,55.14,55.52,45.23,50.94,,
,판관비율,64.68,73.78,60.88,62.07,65.7,46.8,62.69,36.61,41.06,39.69,45.53,37.15,47.47,37.98,38.84,30.72,32.07,38.04,,
,영업이익률,26.83,21.72,35.13,34.86,29.04,4.95,10.24,27.58,21.43,17.82,8.42,15.1,3.73,11.96,16.3,24.8,13.16,12.9,11.2,
,지배순이익률,14.34,3.68,26.32,24.42,20.19,2.15,16.89,18.5,7.31,-17.63,3.57,14.62,-1.27,5.02,8.11,13.7,6.9,6.39,12.8,
,매출액YOY(%),19.71,20.79,5.88,8.31,8.89,55.38,30.91,94.42,80.92,88.79,95.25,53.74,35.24,35.28,29.23,28.81,59.99,-0.9,13.15,
,영업이익YOY(%),-1.83,85.12,22.7,6.38,17.86,-64.62,-61.83,53.8,33.5,580.4,60.51,-15.83,-76.47,-9.21,150.18,111.53,464.87,6.88,-22.27,
,지배순이익YOY(%),-49.85,468.48,13.69,61.49,53.33,-9.06,-15.96,47.3,-34.5,-1645.49,-58.73,21.53,-123.54,138.5,193.65,20.65,967.49,26.1,78.5,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,123.48,150.39,159.55,168.37,146.79,184.57,173.75,180.41,151.59,182.71,192.15,198.57,181.86,189.12,211.69,225.25,199.17,209.29,229.6,235.51
,영업이익,50.85,40.81,64.13,70.9,55.8,51.01,70.34,66.82,52.34,40.45,76.21,83.45,64.35,42.84,90.01,95.43,72.57,38.89,83.16,92.11
,순이익,44.11,-7.53,47.22,59.8,51.55,-39.91,65.42,74.92,46.09,-12.67,69.99,77.3,71.88,11.02,80.07,84.33,75.74,4.83,72.96,44.93
,영업이익율(%),41.18,27.14,40.19,42.11,38.01,27.64,40.48,37.04,34.53,22.14,39.66,42.03,35.38,22.65,42.52,42.37,36.44,18.58,36.22,39.11
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,209.44,224.66,238.44,258.12,213.38,238.31,225.94,262.58,225.82,252.37,226.6,270.79,220.21,286.36,267.92,286.71,250.69,288.23,0,
,영업이익,60.57,66.2,96.86,105.23,69.34,25.99,36.4,83.2,59.03,71.9,57.95,94.94,63.05,66.25,75.11,110.05,63.97,77.07,0,
,순이익,32.52,21.35,80.32,71.26,52.79,5.2,46.53,45.24,36.43,-71.12,54.55,77.21,39.56,6.39,54.15,84.86,41.98,40.92,0,
,영업이익율(%),28.92,29.47,40.62,40.77,32.5,10.91,16.11,31.69,26.14,28.49,25.57,35.06,28.63,23.14,28.03,38.38,25.52,26.74,0,
