,DB손해보험,A005830,,,,,,,,,,,,,,,,,,,
,매출액,32755.43,34209.05,33759.11,34273.24,33660.78,34023.55,33736.72,34449.85,33858.98,34903.49,34623.07,36023.5,36095.94,37241.8,37095.18,38816.53,38762.01,39887.62,33816,
, - 매출원가,7017.93,8119.97,6221.62,7026.62,5928.27,6513.89,4774.39,5467.97,4890.5,5240.39,4931.13,6628.35,5678.25,6383.34,4134.17,6630.68,5854.5,5630.12,,
, = 매출총이익,25737.5,26089.08,27537.49,27246.62,27732.51,27509.66,28962.33,28981.88,28968.48,29663.1,29691.94,29395.15,30417.69,30858.46,32961.01,32185.85,32907.51,34257.5,,
, - 판매비와관리비,23222.43,25034.22,25242.97,24577.88,25401.89,26124.94,27348.14,26182.33,26967.5,28870.69,28756.52,27726.65,28609.01,30182.37,30921.65,29595.45,31146.52,33338.43,,
, = 영업이익,2515.07,1054.86,2294.52,2668.74,2330.62,1384.72,1614.19,2799.55,2000.98,792.41,935.42,1668.5,1808.68,676.09,2039.36,2590.4,1760.99,919.07,2104,
,* 지배순이익,1747.49,840.86,1700.07,2128.89,1736.85,1045.65,1160.85,2019.63,1394.97,749.94,769.98,1159.37,1275.26,555.34,1569.19,1997.22,1419.56,602.44,1594,
,매출원가비중,21.43,23.74,18.43,20.5,17.61,19.15,14.15,15.87,14.44,15.01,14.24,18.4,15.73,17.14,11.14,17.08,15.1,14.11,,
,매출총이익율,78.57,76.26,81.57,79.5,82.39,80.85,85.85,84.13,85.56,84.99,85.76,81.6,84.27,82.86,88.86,82.92,84.9,85.89,,
,판관비율,70.9,73.18,74.77,71.71,75.46,76.78,81.06,76,79.65,82.72,83.06,76.97,79.26,81.04,83.36,76.24,80.35,83.58,,
,영업이익률,7.68,3.08,6.8,7.79,6.92,4.07,4.78,8.13,5.91,2.27,2.7,4.63,5.01,1.82,5.5,6.67,4.54,2.3,6.22,
,지배순이익률,5.33,2.46,5.04,6.21,5.16,3.07,3.44,5.86,4.12,2.15,2.22,3.22,3.53,1.49,4.23,5.15,3.66,1.51,4.71,
,매출액YOY(%),4.1,4.44,3.65,4.22,2.76,-0.54,-0.07,0.52,0.59,2.59,2.63,4.57,6.61,6.7,7.14,7.75,7.39,7.1,-8.84,
,영업이익YOY(%),106.43,96.38,50.07,23.44,-7.33,31.27,-29.65,4.9,-14.14,-42.77,-42.05,-40.4,-9.61,-14.68,118.02,55.25,-2.64,35.94,3.17,
,지배순이익YOY(%),94.78,178.47,51.88,39.25,-0.61,24.35,-31.72,-5.13,-19.68,-28.28,-33.67,-42.59,-8.58,-25.95,103.8,72.27,11.32,8.48,1.58,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,26387.6,27883.18,28128.83,27680.05,28214.04,29128.58,28069.09,29487.73,29592.15,30421.4,30030.91,31513.39,30226.91,33234.03,33034.32,33902.6,35553.19,34413.5,35298.65,35391.1
,영업이익,1307.56,1475.32,1054.21,1535.45,1709.17,1177.81,1326.25,1265.06,1592.26,1459.57,1313.14,1780.18,1174.35,665.95,1349.02,1831.63,1478.76,942.27,1156.71,1920.78
,순이익,988.17,1011.18,807.95,1123.7,1302.75,877.67,825.81,977.09,1214.14,869.1,980.37,1352.98,899.8,769.93,946.39,1427.17,1118.15,635,880.1,1495.74
,영업이익율(%),4.96,5.29,3.75,5.55,6.06,4.04,4.72,4.29,5.38,4.8,4.37,5.65,3.89,2,4.08,5.4,4.16,2.74,3.28,5.43
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,37034.08,36089.63,40318.99,35426.56,35929.71,39068.17,36812.09,39051.9,35880.82,38205.93,38177.78,40244.4,41696.29,40538.83,44194.31,41522.48,41677.65,45261.14,0,
,영업이익,2408.66,825.94,2080.05,2650.97,2057.93,1343.26,1479.58,2602.64,2113.39,898.13,1288.06,1459.59,1692.48,610.21,1788.99,2895.3,1231.53,860.39,0,
,순이익,1817.23,508.63,1592.98,2105.09,1554.16,968.28,1101.64,1899.64,1515.62,631.02,992.01,1070.49,1224.92,439.49,1375.93,2118.5,925.71,601.9,0,
,영업이익율(%),6.5,2.29,5.16,7.48,5.73,3.44,4.02,6.66,5.89,2.35,3.37,3.63,4.06,1.51,4.05,6.97,2.95,1.9,0,
