,롯데쇼핑,A023530,,,,,,,,,,,,,,,,,,,
,매출액,60965.74,36084.9,44464.33,44001.57,45626.85,45167.88,43341.71,44132.69,46749.48,43983.94,44468.22,44564.6,44047.12,43140.07,40767.14,40458.51,41059.24,39558.93,39804,
, - 매출원가,41440.32,21907.65,25747.74,25360.89,26947.58,24935.64,24812.67,25794.42,27574.85,24949.19,26056.1,25656.1,25839.71,24294.3,24582.34,24183.51,24888.76,22782.47,,
, = 매출총이익,19525.42,14177.25,18716.59,18640.68,18679.27,20232.24,18529.04,18338.27,19174.63,19034.75,18412.12,18908.5,18207.41,18845.77,16184.8,16275,16170.48,16776.46,,
, - 판매비와관리비,18184.64,11676.38,17170.76,18219.98,16952.92,15914.74,16318.46,17472.36,17183.91,18131.92,16359.57,17993.42,17331.45,18410.26,15663.32,16261.1,15060.03,14961.44,,
, = 영업이익,1340.78,2500.87,1545.83,420.7,1726.35,4317.5,2210.58,865.91,1990.72,902.83,2052.55,915.08,875.96,435.51,521.48,13.9,1110.45,1815.02,1427,
,* 지배순이익,477.78,-23.61,895.61,-313.35,-5588.77,3642.55,-360.1,-2420.91,1819.13,-4486.86,889.72,507.57,-405.42,-9955.13,-734.72,-2371.66,-218.21,-4534.81,249,
,매출원가비중,67.97,60.71,57.91,57.64,59.06,55.21,57.25,58.45,58.98,56.72,58.59,57.57,58.66,56.31,60.3,59.77,60.62,57.59,,
,매출총이익율,32.03,39.29,42.09,42.36,40.94,44.79,42.75,41.55,41.02,43.28,41.41,42.43,41.34,43.69,39.7,40.23,39.38,42.41,,
,판관비율,29.83,32.36,38.62,41.41,37.16,35.23,37.65,39.59,36.76,41.22,36.79,40.38,39.35,42.68,38.42,40.19,36.68,37.82,,
,영업이익률,2.2,6.93,3.48,0.96,3.78,9.56,5.1,1.96,4.26,2.05,4.62,2.05,1.99,1.01,1.28,0.03,2.7,4.59,3.59,
,지배순이익률,0.78,-0.07,2.01,-0.71,-12.25,8.06,-0.83,-5.49,3.89,-10.2,2,1.14,-0.92,-23.08,-1.8,-5.86,-0.53,-11.46,0.63,
,매출액YOY(%),-18.54,-51.76,-38.06,-39.14,-25.16,25.17,-2.52,0.3,2.46,-2.62,2.6,0.98,-5.78,-1.92,-8.32,-9.21,-6.78,-8.3,-2.36,
,영업이익YOY(%),-31.36,32.34,-25.73,-75.4,28.76,72.64,43,105.83,15.31,-79.09,-7.15,5.68,-56,-51.76,-74.59,-98.48,26.77,316.76,173.64,
,지배순이익YOY(%),2600.85,99.58,54.48,-148.35,-1269.74,15528,-140.21,-672.59,132.55,-223.18,347.08,120.97,-122.29,-121.87,-182.58,-567.26,46.18,54.45,133.89,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,36704.76,40468.13,39528.33,38418.07,38834.35,44437.64,41826.51,40076.52,39507.73,44218.87,40137.99,38977.57,38830.26,43170.61,39846.15,39235.26,39958.43,42733.48,40103.12,38390.81
,영업이익,2622.93,3444.08,2847.19,2714.7,2302,3511.73,2848.07,2938.45,2560.61,3498.13,2778.37,2118.76,2452.52,2585.3,2059.02,992.21,1611.21,2484.99,1896.97,683.16
,순이익,587.88,2140.47,2703.35,1514.95,2241.01,3722.84,2163.99,2299.66,2598.08,-877.04,1961.82,2011.03,2225.65,-745.33,1554.29,532.96,849.69,-5981.06,1132.86,43.79
,영업이익율(%),7.15,8.51,7.2,7.07,5.93,7.9,6.81,7.33,6.48,7.91,6.92,5.44,6.32,5.99,5.17,2.53,4.03,5.82,4.73,1.78
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,39575.96,42353.75,37709.12,36636.4,37403.01,0,26333.78,24895.85,25818.85,25129.4,24694.16,23893.17,24303.54,24062.38,22639.37,21229.34,22615.2,20596.92,0,
,영업이익,1071.8,3546.66,1376.82,334.34,945.42,0,1556.8,37.33,956.86,1480.42,1249.86,-104.61,542.1,1022.85,115.47,-786.85,542.58,1468.88,0,
,순이익,523.86,-1182.68,1225.79,-2510.3,-10361.76,0,-1351.72,-2681.67,1603.74,-2599.53,738.94,-372.89,57.21,-7960.27,-37.4,-5606.99,295.23,-4970.81,0,
,영업이익율(%),2.71,8.37,3.65,0.91,2.53,0,5.91,0.15,3.71,5.89,5.06,-0.44,2.23,4.25,0.51,-3.71,2.4,7.13,0,
