,롯데칠성,A005300,,,,,,,,,,,,,,,,,,,
,매출액,6416.79,4511.93,5265.16,6208.84,6683.52,4635.31,5226.45,5995.08,6698.74,5542.5,5748.87,6774.78,6571.42,5200.2,5073.76,5979.97,6452.42,5073.59,5172,
, - 매출원가,3607.28,2625.26,3045.14,3526.78,3821.04,3022.35,3225.82,3654.57,3929.07,3364.95,3447.73,3932.86,3869.16,3209.24,3134.81,3579.25,3727.05,3054.13,,
, = 매출총이익,2809.51,1886.67,2220.02,2682.06,2862.48,1612.96,2000.63,2340.51,2769.67,2177.55,2301.14,2841.92,2702.26,1990.96,1938.95,2400.72,2725.37,2019.46,,
, - 판매비와관리비,2271.98,1847.91,1947.61,2442.71,2497.02,1736.34,1914.56,2105.98,2258.09,2160.22,2108.61,2378.75,2211.95,2060.31,1876.4,2107.84,2141.74,1986.22,,
, = 영업이익,537.53,38.76,272.41,239.35,365.46,-123.38,86.07,234.53,511.58,17.33,192.53,463.17,490.31,-69.35,62.55,292.88,583.63,33.24,241,
,* 지배순이익,392.33,-252.37,83.13,-296.01,-1966.58,3525.81,-19.3,64.52,258.65,-784.37,24.11,-446.31,293.07,-1295.19,-30.38,147.48,323.08,-565.3,104,
,매출원가비중,56.22,58.18,57.84,56.8,57.17,65.2,61.72,60.96,58.65,60.71,59.97,58.05,58.88,61.71,61.78,59.85,57.76,60.2,,
,매출총이익율,43.78,41.82,42.16,43.2,42.83,34.8,38.28,39.04,41.35,39.29,40.03,41.95,41.12,38.29,38.22,40.15,42.24,39.8,,
,판관비율,35.41,40.96,36.99,39.34,37.36,37.46,36.63,35.13,33.71,38.98,36.68,35.11,33.66,39.62,36.98,35.25,33.19,39.15,,
,영업이익률,8.38,0.86,5.17,3.85,5.47,-2.66,1.65,3.91,7.64,0.31,3.35,6.84,7.46,-1.33,1.23,4.9,9.05,0.66,4.66,
,지배순이익률,6.11,-5.59,1.58,-4.77,-29.42,76.06,-0.37,1.08,3.86,-14.15,0.42,-6.59,4.46,-24.91,-0.6,2.47,5.01,-11.14,2.01,
,매출액YOY(%),-0.59,-12.24,-3,-1.22,4.16,2.73,-0.74,-3.44,0.23,19.57,10,13.01,-1.9,-6.18,-11.74,-11.73,-1.81,-2.43,1.94,
,영업이익YOY(%),-0.4,5.84,-28.27,-52.81,-32.01,-418.32,-68.4,-2.01,39.98,114.05,123.69,97.49,-4.16,-500.17,-67.51,-36.77,19.03,147.93,285.29,
,지배순이익YOY(%),14.87,-15.81,-68.5,-202.33,-601.26,1497.08,-123.22,121.8,113.15,-122.25,224.92,-791.74,13.31,-65.12,-226.01,133.04,10.24,56.35,442.33,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4144.39,4446.97,4601.48,5417.17,5748.25,4390.76,4697.95,5393.75,5666.39,4537.86,4810.38,5631.19,5822.5,4572.46,4964.85,5939.56,6156.15,4888.26,5195.8,5968.63
,영업이익,411.24,262.27,380.91,470.44,544.35,146.37,275.72,548.76,584.86,223.44,359.01,278.36,317.64,0.86,378.94,502.88,518.93,69.67,398.94,473.69
,순이익,230.35,-108.21,218.87,260.79,283,116.66,252.49,373.91,398.33,-111.26,235.02,106.92,177.08,-253.15,260.61,406.39,324.74,-126.81,289.04,264.21
,영업이익율(%),9.92,5.9,8.28,8.68,9.47,3.33,5.87,10.17,10.32,4.92,7.46,4.94,5.46,0.02,7.63,8.47,8.43,1.43,7.68,7.94
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6416.79,5060.9,5265.16,6208.84,6683.52,4635.31,5199.74,5965.07,6674.26,5393.65,5584.34,6466.56,6333.88,5046.92,4903.94,5722.06,6183.81,4809.82,0,
,영업이익,536.87,52.32,272.57,238.98,357.49,-123.38,85.99,228.39,503.15,58.06,219.06,465.53,476.72,-71.81,74.36,272.99,558.42,66.24,0,
,순이익,363.17,-822.53,159.71,-486.57,-2148.34,3990.99,-13.54,53.36,234.96,-820.46,46.96,-442.39,300.67,-1028.18,-12.56,150.78,332.48,-634.37,0,
,영업이익율(%),8.37,1.03,5.18,3.85,5.35,-2.66,1.65,3.83,7.54,1.08,3.92,7.2,7.53,-1.42,1.52,4.77,9.03,1.38,0,
