,오리온홀딩스,A001800,,,,,,,,,,,,,,,,,,,
, - 매출원가,266.29,331.07,74.63,129.21,420.84,227.74,2947.68,2487.47,2644.37,2923.35,2981.75,2567.09,3023.07,3181.7,3217.46,2891.05,3404.43,3657.92,,
, = 매출총이익,80.07,70.97,15.48,30.07,155.31,74.19,2382.97,1873.14,2303.54,2414.31,2292.69,1929.59,2535.15,2524.86,2504.23,2307.71,2609.41,2212.67,,
, - 판매비와관리비,76.88,66.58,56,67.32,45.08,57.65,1547.17,1552.48,1778.46,1790.72,1655.49,1588.37,1657.07,1714.77,1668.52,1621.79,1722.51,1534.92,,
, = 영업이익,3.19,4.39,-40.52,-37.25,110.23,16.54,835.8,320.66,525.08,623.59,637.2,341.22,878.08,810.09,835.71,685.92,886.9,677.75,0,
,* 지배순이익,851.27,757.25,250.08,14964.39,136.91,-548.25,225.43,152.66,46.29,138.94,131.75,69.88,218.56,63.59,230.28,175.01,228.37,141.46,0,
,매출원가비중,76.88,82.35,82.82,81.12,73.04,75.43,55.3,57.04,53.44,54.77,56.53,57.09,54.39,55.76,56.23,55.61,56.61,62.31,,
,매출총이익율,23.12,17.65,17.18,18.88,26.96,24.57,44.7,42.96,46.56,45.23,43.47,42.91,45.61,44.24,43.77,44.39,43.39,37.69,,
,판관비율,22.2,16.56,62.15,42.27,7.82,19.09,29.02,35.6,35.94,33.55,31.39,35.32,29.81,30.05,29.16,31.2,28.64,26.15,,
,영업이익률,0.92,1.09,-44.97,-23.39,19.13,5.48,15.68,7.35,10.61,11.68,12.08,7.59,15.8,14.2,14.61,13.19,14.75,11.54,0,
,지배순이익률,245.78,188.35,277.53,9395.02,23.76,-181.58,4.23,3.5,0.94,2.6,2.5,1.55,3.93,1.11,4.02,3.37,3.8,2.41,0,
,매출액YOY(%),-94.58,-93.34,-79.41,70.04,66.34,-24.9,5815.71,2637.7,758.79,1667.85,-1.05,3.12,12.33,6.91,8.48,15.61,8.2,2.87,0,
,영업이익YOY(%),-99.59,-99.34,-223.39,36.16,3355.49,276.77,2162.68,960.83,376.35,3670.19,-23.76,6.41,67.23,29.91,31.15,101.02,1,-16.34,0,
,지배순이익YOY(%),140.2,145.25,-63.74,21736.26,-83.92,-172.4,-9.86,-98.98,-66.19,125.34,-41.56,-54.23,372.15,-54.23,74.79,150.44,4.49,122.46,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1821.84,1962.66,2090.42,1961.59,2008.85,2145.72,2070,1984.99,1868.25,1998.41,1956.22,1886.44,1810.57,1863.85,1890.2,1778.15,1671.08,1734.96,1738.39,1666.06
,영업이익,136.99,184,175.71,95.66,107.04,241.09,150.71,115.32,34.39,174.36,136.29,90.72,55.84,164.47,302.21,272.64,193.39,183.24,238.66,165.8
,순이익,87,125.11,131.26,57.47,38.21,-168.57,112.56,15.67,-71.27,52.35,105.58,5.82,22.49,-81.8,247.38,16.54,-68.54,-41.85,33.8,14.66
,영업이익율(%),7.52,9.38,8.41,4.88,5.33,11.24,7.28,5.81,1.84,8.72,6.97,4.81,3.08,8.82,15.99,15.33,11.57,10.56,13.73,9.95
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1602.11,1787.25,15.08,20.6,40.91,59.38,148.93,37.11,38.91,38.13,175.66,31.99,43.65,38.44,144.59,36.3,40.04,39.58,0,
,영업이익,120.57,261.71,-16.89,-21.73,12.85,18.66,116.68,8.16,14.99,12.97,147.34,6.57,17.12,4.95,113.99,5.61,13.9,-1.84,0,
,순이익,113.19,347.88,130.45,22113.87,4.16,40.63,97.29,67.05,13.84,50.98,134.33,-7.24,17.51,-64.95,113.37,6.24,9.78,5.43,0,
,영업이익율(%),7.53,14.64,-112,-105.49,31.41,31.42,78.35,21.99,38.52,34.02,83.88,20.54,39.22,12.88,78.84,15.45,34.72,-4.65,0,
